station,year,utm_e,utm_n,gw_aug_m,gw_aug_obs_n,gw_aug_mean_m_descriptive,gw_aug_first_date,gw_aug_last_date,gw_pre_last_janfeb_m,gw_pre_last_janfeb_date,gw_janfeb_obs_n
PO018072NUP001,2024,512563.9021,5011157.222,2.55,1,2.55,2024-08-20,2024-08-20,3.95,2024-02-26,2
PO018072NUP001,2025,512563.9021,5011157.222,3.0,1,3.0,2025-08-26,2025-08-26,3.6,2025-01-22,1
PO0180810U0111,2016,521130.0,5000547.0,1.3,1,1.3,2016-08-26,2016-08-26,5.25,2016-01-28,1
PO0180810U0111,2017,521130.0,5000547.0,2.0,1,2.0,2017-08-22,2017-08-22,2.8,2017-02-28,1
PO0180810U0111,2018,521130.0,5000547.0,4.0,1,4.0,2018-08-30,2018-08-30,4.1,2018-02-26,1
PO0180810U0111,2019,521130.0,5000547.0,5.72,1,5.72,2019-08-30,2019-08-30,4.0,2019-02-28,1
PO0180810U0111,2021,521130.0,5000547.0,3.1,1,3.1,2021-08-30,2021-08-30,2.3,2021-02-26,1
PO0180810U0111,2022,521130.0,5000547.0,2.5,1,2.5,2022-08-30,2022-08-30,2.8,2022-02-28,1
PO0180810U0111,2023,521130.0,5000547.0,2.85,1,2.85,2023-08-30,2023-08-30,3.7,2023-02-28,1
PO0180810U0111,2024,521130.0,5000547.0,1.55,1,1.55,2024-08-20,2024-08-20,3.0,2024-02-26,2
PO0180810U0111,2025,521130.0,5000547.0,1.5,1,1.5,2025-08-26,2025-08-26,2.8,2025-01-22,1
PO0180880U0001,2015,479549.0,4993807.0,1.86,1,1.86,2015-08-14,2015-08-14,4.51,2015-02-24,2
PO0180880U0001,2016,479549.0,4993807.0,1.72,1,1.72,2016-08-11,2016-08-11,5.08,2016-02-18,2
PO0180880U0001,2017,479549.0,4993807.0,1.99,1,1.99,2017-08-16,2017-08-16,4.96,2017-02-21,2
PO0180880U0001,2018,479549.0,4993807.0,1.82,1,1.82,2018-08-22,2018-08-22,5.03,2018-02-21,2
PO0180880U0001,2019,479549.0,4993807.0,1.83,1,1.83,2019-08-27,2019-08-27,4.8,2019-02-19,2
PO0180880U0001,2020,479549.0,4993807.0,1.71,1,1.71,2020-08-26,2020-08-26,4.27,2020-01-28,1
PO0180880U0001,2021,479549.0,4993807.0,1.64,1,1.64,2021-08-25,2021-08-25,4.2,2021-01-26,1
PO0180880U0001,2022,479549.0,4993807.0,3.87,1,3.87,2022-08-31,2022-08-31,5.03,2022-02-28,1
PO0180880U0001,2025,479549.0,4993807.0,2.71,1,2.71,2025-08-13,2025-08-13,4.64,2025-02-19,1
PO0181100U0111,2017,511138.0,5006846.0,4.0,1,4.0,2017-08-22,2017-08-22,5.3,2017-02-28,2
PO0181100U0111,2018,511138.0,5006846.0,3.3,1,3.3,2018-08-30,2018-08-30,5.45,2018-02-26,2
PO0181100U0111,2019,511138.0,5006846.0,3.32,1,3.32,2019-08-30,2019-08-30,5.7,2019-02-28,2
PO0181100U0111,2021,511138.0,5006846.0,5.28,1,5.28,2021-08-30,2021-08-30,4.7,2021-02-26,2
PO0181100U0111,2022,511138.0,5006846.0,5.0,1,5.0,2022-08-30,2022-08-30,5.2,2022-02-28,2
PO0181100U0111,2023,511138.0,5006846.0,4.6,1,4.6,2023-08-30,2023-08-30,6.1,2023-02-16,2
PO0181100U0111,2024,511138.0,5006846.0,2.75,1,2.75,2024-08-20,2024-08-20,5.35,2024-02-26,2
PO0181100U0111,2025,511138.0,5006846.0,3.65,1,3.65,2025-08-26,2025-08-26,5.05,2025-01-22,1
PO0181140U0002,2017,534746.0,4995245.0,4.35,1,4.35,2017-08-30,2017-08-30,4.54,2017-02-28,2
PO0181140U0002,2018,534746.0,4995245.0,4.0,1,4.0,2018-08-21,2018-08-21,4.4,2018-02-28,2
PO0181140U0002,2021,534746.0,4995245.0,3.9,1,3.9,2021-08-25,2021-08-25,3.2,2021-02-26,2
PO0181140U0002,2022,534746.0,4995245.0,4.65,1,4.65,2022-08-10,2022-08-10,4.3,2022-02-14,2
PO0181140U0002,2023,534746.0,4995245.0,4.5,1,4.5,2023-08-07,2023-08-07,4.4,2023-02-03,2
PO0181140U0002,2024,534746.0,4995245.0,2.95,1,2.95,2024-08-16,2024-08-16,4.4,2024-02-08,2
PO0181140U0002,2025,534746.0,4995245.0,3.3,1,3.3,2025-08-22,2025-08-22,3.0,2025-02-07,2
PO0181150U0006,2015,512380.0,4989928.0,5.4,1,5.4,2015-08-20,2015-08-20,3.07,2015-02-20,2
PO0181150U0006,2016,512380.0,4989928.0,6.18,1,6.18,2016-08-10,2016-08-10,5.77,2016-02-17,2
PO0181150U0006,2017,512380.0,4989928.0,6.87,1,6.87,2017-08-17,2017-08-17,6.4,2017-02-23,2
PO0181150U0006,2018,512380.0,4989928.0,7.02,1,7.02,2018-08-23,2018-08-23,7.05,2018-02-20,2
PO0181150U0006,2019,512380.0,4989928.0,7.27,1,7.27,2019-08-28,2019-08-28,6.92,2019-02-19,2
PO0181150U0006,2020,512380.0,4989928.0,6.16,1,6.16,2020-08-25,2020-08-25,5.42,2020-01-29,1
PO0181150U0006,2021,512380.0,4989928.0,6.15,1,6.15,2021-08-26,2021-08-26,4.76,2021-02-23,2
PO0181180U0019,2015,524321.0,4993134.0,7.95,1,7.95,2015-08-20,2015-08-20,7.12,2015-02-25,2
PO0181180U0019,2016,524321.0,4993134.0,8.35,1,8.35,2016-08-24,2016-08-24,7.9,2016-02-25,2
PO0181180U0019,2017,524321.0,4993134.0,9.24,1,9.24,2017-08-28,2017-08-28,8.34,2017-02-21,2
PO0181180U0019,2018,524321.0,4993134.0,8.99,1,8.99,2018-08-27,2018-08-27,8.97,2018-02-26,2
PO0181220U0001,2016,501728.0,4974258.0,6.1,1,6.1,2016-08-09,2016-08-09,6.1,2016-02-16,1
PO0181220U0001,2017,501728.0,4974258.0,6.19,1,6.19,2017-08-16,2017-08-16,6.12,2017-02-23,1
PO0181220U0001,2019,501728.0,4974258.0,6.94,1,6.94,2019-08-28,2019-08-28,7.22,2019-02-19,1
PO018146NRP001,2016,473582.7089,4995758.0701,3.0,1,3.0,2016-08-11,2016-08-11,6.05,2016-02-18,1
PO018146NRP001,2017,473582.7089,4995758.0701,3.1,1,3.1,2017-08-16,2017-08-16,5.84,2017-02-21,2
PO018146NRP001,2018,473582.7089,4995758.0701,2.84,1,2.84,2018-08-22,2018-08-22,5.9,2018-02-21,2
PO018146NRP001,2019,473582.7089,4995758.0701,3.03,1,3.03,2019-08-27,2019-08-27,5.75,2019-02-19,2
PO018146NRP001,2020,473582.7089,4995758.0701,3.0,1,3.0,2020-08-26,2020-08-26,5.26,2020-01-28,1
PO018147NUP001,2016,492497.439,4996514.76967,5.29,1,5.29,2016-08-11,2016-08-11,6.67,2016-02-18,1
PO018147NUP001,2017,492497.439,4996514.76967,5.36,1,5.36,2017-08-16,2017-08-16,6.55,2017-02-21,2
PO018147NUP001,2018,492497.439,4996514.76967,5.35,1,5.35,2018-08-22,2018-08-22,6.7,2018-02-21,2
PO018147NUP001,2019,492497.439,4996514.76967,5.46,1,5.46,2019-08-27,2019-08-27,6.71,2019-02-19,2
PO018147NUP001,2020,492497.439,4996514.76967,5.1,1,5.1,2020-08-26,2020-08-26,6.07,2020-01-28,1
PO018147NUP001,2021,492497.439,4996514.76967,5.16,1,5.16,2021-08-25,2021-08-25,6.14,2021-01-26,1
PO018147NUP001,2022,492497.439,4996514.76967,6.35,1,6.35,2022-08-31,2022-08-31,6.66,2022-02-28,1
PO018147NUP001,2024,492497.439,4996514.76967,5.23,1,5.23,2024-08-26,2024-08-26,6.61,2024-02-27,1
PO018147NUP001,2025,492497.439,4996514.76967,5.14,1,5.14,2025-08-13,2025-08-13,6.34,2025-02-19,1
PO0181550U0001,2015,505656.0,4980492.0,2.27,1,2.27,2015-08-20,2015-08-20,1.81,2015-02-20,2
PO0181550U0001,2016,505656.0,4980492.0,2.54,1,2.54,2016-08-10,2016-08-10,2.3,2016-02-17,2
PO0181550U0001,2017,505656.0,4980492.0,2.8,1,2.8,2017-08-17,2017-08-17,2.57,2017-02-23,2
PO0181550U0001,2018,505656.0,4980492.0,2.86,1,2.86,2018-08-23,2018-08-23,2.84,2018-02-20,2
PO0181550U0001,2019,505656.0,4980492.0,2.84,1,2.84,2019-08-28,2019-08-28,2.84,2019-02-19,2
PO0181550U0001,2020,505656.0,4980492.0,2.55,1,2.55,2020-08-25,2020-08-25,2.25,2020-01-29,1
PO0181550U0001,2021,505656.0,4980492.0,2.59,1,2.59,2021-08-26,2021-08-26,2.22,2021-02-23,2
PO018162NUP001,2017,512843.2754,4999704.7415,4.4,1,4.4,2017-08-22,2017-08-22,4.3,2017-02-28,2
PO018162NUP001,2018,512843.2754,4999704.7415,3.63,1,3.63,2018-08-30,2018-08-30,5.0,2018-02-26,2
PO018162NUP001,2019,512843.2754,4999704.7415,4.17,1,4.17,2019-08-30,2019-08-30,4.55,2019-02-28,3
PO018162NUP001,2021,512843.2754,4999704.7415,3.35,1,3.35,2021-08-30,2021-08-30,3.8,2021-02-26,2
PO018162NUP001,2022,512843.2754,4999704.7415,3.35,1,3.35,2022-08-30,2022-08-30,4.6,2022-02-28,2
PO018162NUP001,2023,512843.2754,4999704.7415,4.6,1,4.6,2023-08-30,2023-08-30,5.1,2023-02-28,2
PO018162NUP001,2024,512843.2754,4999704.7415,2.5,1,2.5,2024-08-20,2024-08-20,4.6,2024-01-30,1
PO018162NUP001,2025,512843.2754,4999704.7415,3.6,1,3.6,2025-08-26,2025-08-26,3.9,2025-01-22,1
PO018173NUP001,2017,507665.885333,5013301.88233,1.6,1,1.6,2017-08-22,2017-08-22,2.7,2017-02-28,2
PO018173NUP001,2018,507665.885333,5013301.88233,1.48,1,1.48,2018-08-30,2018-08-30,2.5,2018-02-26,2
PO018173NUP001,2019,507665.885333,5013301.88233,1.47,1,1.47,2019-08-30,2019-08-30,2.5,2019-02-28,2
PO018173NUP001,2021,507665.885333,5013301.88233,2.1,1,2.1,2021-08-30,2021-08-30,1.8,2021-02-26,2
PO018173NUP001,2022,507665.885333,5013301.88233,1.7,1,1.7,2022-08-30,2022-08-30,2.5,2022-02-28,2
PO018173NUP001,2023,507665.885333,5013301.88233,2.0,1,2.0,2023-08-29,2023-08-29,3.0,2023-02-28,2
PO018173NUP001,2024,507665.885333,5013301.88233,1.8,1,1.8,2024-08-20,2024-08-20,2.5,2024-02-26,2
PO018173NUP001,2025,507665.885333,5013301.88233,1.45,1,1.45,2025-08-26,2025-08-26,2.85,2025-01-22,1
PO018176NUP001,2017,518046.1505,5015899.1052,3.75,1,3.75,2017-08-22,2017-08-22,4.7,2017-02-28,2
PO018176NUP001,2018,518046.1505,5015899.1052,3.72,1,3.72,2018-08-30,2018-08-30,4.8,2018-02-26,2
PO018176NUP001,2019,518046.1505,5015899.1052,3.87,1,3.87,2019-08-30,2019-08-30,4.8,2019-02-28,2
PO018176NUP001,2021,518046.1505,5015899.1052,3.65,1,3.65,2021-08-30,2021-08-30,4.2,2021-02-26,2
PO018176NUP001,2022,518046.1505,5015899.1052,3.6,1,3.6,2022-08-30,2022-08-30,4.6,2022-02-28,2
PO018176NUP001,2023,518046.1505,5015899.1052,4.4,1,4.4,2023-08-29,2023-08-29,4.6,2023-02-28,2
PO018176NUP001,2024,518046.1505,5015899.1052,3.05,1,3.05,2024-08-20,2024-08-20,3.75,2024-02-28,2
PO018176NUP001,2025,518046.1505,5015899.1052,3.6,1,3.6,2025-08-26,2025-08-26,4.15,2025-01-22,1
PO0181770U0020,2015,488853.0,5017022.0,4.8,1,4.8,2015-08-21,2015-08-21,5.42,2015-02-26,2
PO0181770U0020,2016,488853.0,5017022.0,4.9,1,4.9,2016-08-30,2016-08-30,5.9,2016-02-15,2
PO0181770U0020,2018,488853.0,5017022.0,3.9,1,3.9,2018-08-22,2018-08-22,5.25,2018-02-16,1
PO018180NUP001,2018,528164.265,5007156.563,5.45,1,5.45,2018-08-21,2018-08-21,5.22,2018-02-28,2
PO018180NUP001,2021,528164.265,5007156.563,5.05,1,5.05,2021-08-25,2021-08-25,5.2,2021-02-26,2
PO018180NUP001,2022,528164.265,5007156.563,6.25,1,6.25,2022-08-10,2022-08-10,5.73,2022-02-14,2
PO018180NUP001,2023,528164.265,5007156.563,5.95,1,5.95,2023-08-07,2023-08-07,5.75,2023-02-03,2
PO018180NUP001,2024,528164.265,5007156.563,5.0,1,5.0,2024-08-16,2024-08-16,5.8,2024-02-08,2
PO018180NUP001,2025,528164.265,5007156.563,5.2,1,5.2,2025-08-22,2025-08-22,5.3,2025-02-07,2
