station,year,utm_e,utm_n,gw_aug_m,gw_aug_obs_n,gw_aug_mean_m_descriptive,gw_aug_first_date,gw_aug_last_date,gw_pre_last_janfeb_m,gw_pre_last_janfeb_date,gw_janfeb_obs_n,s1_flooding_like_5km,s1_support_points_5km_n,s1_valid_support_points_5km_n,s1_flooding_like_10km,s1_support_points_10km_n,s1_valid_support_points_10km_n,s1_flooding_like_20km,s1_support_points_20km_n,s1_valid_support_points_20km_n,s1_flooding_like_complete4_10km,s1_complete4_support_points_10km_n,s1_complete4_valid_support_points_10km_n,primary_complete
PO0180130U0005,2018,523764.0,5000838.0,10.34,1,10.34,2018-08-27,2018-08-27,11.9,2018-02-26,2,-0.38244477922404363,64,64,-0.3874699305764248,217,217,-0.3336203398620394,622,622,,217,0,True
PO018014NRP001,2016,501192.230333,5013351.97267,12.13,1,12.13,2016-08-17,2016-08-17,13.94,2016-02-24,1,-0.2133280396412482,49,49,-0.1495766044011141,251,251,-0.01459400357153375,1076,1076,-0.1495766044011141,251,251,True
PO018014NRP001,2017,501192.230333,5013351.97267,12.28,1,12.28,2017-08-01,2017-08-01,13.56,2017-02-07,2,0.1568594424941459,49,49,0.0895627779996706,251,251,0.22237665853708338,1076,1076,0.0895627779996706,251,251,True
PO018014NRP001,2018,501192.230333,5013351.97267,12.35,1,12.35,2018-08-10,2018-08-10,13.5,2018-02-06,2,-0.169832689235479,49,49,-0.2831034832338085,251,251,-0.17589953702669076,1076,1076,-0.2831034832338085,251,251,True
PO018014NRP001,2019,501192.230333,5013351.97267,12.35,1,12.35,2019-08-01,2019-08-01,13.53,2019-02-11,2,-0.1392283425135456,49,49,-0.2815674367870642,251,251,-0.1825399251140335,1076,1076,-0.2815674367870642,251,251,True
PO018014NRP001,2020,501192.230333,5013351.97267,11.79,1,11.79,2020-08-28,2020-08-28,12.84,2020-02-04,2,-0.0446260771568465,49,49,-0.1257858897577671,251,251,-0.08084063930804106,1076,1076,-0.1089157440715389,251,237,True
PO018014NRP001,2021,501192.230333,5013351.97267,11.64,1,11.64,2021-08-27,2021-08-27,13.01,2021-02-09,1,0.1672640406856755,49,49,0.2413379992167085,251,251,0.3055342255435113,1076,1076,0.22247065793275295,251,238,True
PO018032NR0001,2017,508567.0,4988324.0,12.62,1,12.62,2017-08-17,2017-08-17,11.76,2017-02-23,2,,0,0,0.3109509300228613,37,37,0.327576022839917,335,335,0.3109509300228613,37,37,True
PO018032NR0001,2018,508567.0,4988324.0,12.7,1,12.7,2018-08-23,2018-08-23,12.64,2018-02-20,2,,0,0,-0.0484493333598471,37,37,-0.1810718096450469,335,335,-0.0484493333598471,37,37,True
PO018032NR0001,2019,508567.0,4988324.0,13.09,1,13.09,2019-08-28,2019-08-28,12.77,2019-02-19,2,,0,0,-0.1605060757282681,37,37,-0.1700237386620179,335,335,-0.1605060757282681,37,37,True
PO0180350U0002,2016,485404.0,5022621.0,5.85,1,5.85,2016-08-16,2016-08-16,7.73,2016-02-16,1,1.0039739631457052,65,65,0.3884240505102537,231,231,0.1011701683354372,973,973,0.38885781705620365,231,228,True
PO0180350U0002,2018,485404.0,5022621.0,4.2,1,4.2,2018-08-22,2018-08-22,7.25,2018-02-16,1,0.7499111908680928,65,65,0.1650943068246625,231,231,-0.0165904789566901,973,973,0.16152329159912243,231,228,True
PO0180350U0002,2019,485404.0,5022621.0,4.0,1,4.0,2019-08-23,2019-08-23,8.2,2019-02-28,1,0.3825353191318296,65,65,0.0418786826177104,231,231,-0.0470704255362439,973,973,0.04229059114784635,231,228,True
PO018039NR0001,2019,476494.0,5010571.0,1.39,1,1.39,2019-08-27,2019-08-27,3.07,2019-02-19,2,-0.02878310578021865,82,82,-0.01139515168798305,342,342,-0.0167793075886853,1255,1255,-0.00797557970094955,342,228,True
PO018039NR0001,2020,476494.0,5010571.0,1.47,1,1.47,2020-08-26,2020-08-26,2.57,2020-01-28,1,0.02225749572737665,82,82,0.09844539385392395,342,342,0.1082057508022018,1255,1255,0.12224031792359775,342,230,True
PO018039NR0001,2021,476494.0,5010571.0,1.35,1,1.35,2021-08-25,2021-08-25,2.4,2021-01-26,1,0.5681489119660736,82,82,0.5399841061494857,342,342,0.4620077825845288,1255,1255,0.5750262227660154,342,226,True
PO018039NR0001,2022,476494.0,5010571.0,1.8,1,1.8,2022-08-30,2022-08-30,3.1,2022-02-21,1,0.7196860310619451,82,82,0.6899043727130407,342,342,0.5897553370710709,1255,1255,0.6965530198921591,342,226,True
PO018039NR0001,2024,476494.0,5010571.0,1.52,1,1.52,2024-08-28,2024-08-28,2.6,2024-02-27,1,-0.19162946056527047,82,82,-0.12730428034270524,342,342,-0.135946414783075,1255,1255,-0.0848810702658466,342,231,True
PO018039NR0001,2025,476494.0,5010571.0,1.37,1,1.37,2025-08-21,2025-08-21,2.79,2025-02-18,1,0.16165980681163,82,82,0.2343079907904414,342,342,0.2312891666830248,1255,1255,0.26947300896720455,342,232,True
PO018039NRP001,2016,474622.390667,5007946.94967,2.41,1,2.41,2016-08-30,2016-08-30,5.54,2016-02-23,1,0.0836127717442769,89,89,0.18371919679823995,342,342,0.1707518846354692,1300,1300,0.18697480195294341,342,200,True
PO018039NRP001,2017,474622.390667,5007946.94967,1.9,1,1.9,2017-08-29,2017-08-29,5.2,2017-02-22,2,0.3732800454733854,89,89,0.35981643102647143,342,342,0.3355275318789521,1300,1300,0.4157332936800579,342,197,True
PO018039NRP001,2018,474622.390667,5007946.94967,2.6,1,2.6,2018-08-22,2018-08-22,5.26,2018-02-22,2,-0.0884425676183277,89,89,-0.0246518100918273,342,342,-0.027130322735492998,1300,1300,-0.0383656588442878,342,193,True
PO018043NUP001,2017,518426.612333,5011543.40033,2.05,1,2.05,2017-08-22,2017-08-22,2.3,2017-02-28,2,0.20333145335491404,82,82,0.2166503134865068,325,325,0.1424914197274787,862,862,0.2739699394172228,325,39,True
PO018043NUP001,2018,518426.612333,5011543.40033,1.98,1,1.98,2018-08-30,2018-08-30,2.2,2018-02-26,2,-0.38466985308916846,82,82,-0.2724545614634197,325,325,-0.3092458963921163,862,862,-0.19966173538799856,325,36,True
PO018043NUP001,2019,518426.612333,5011543.40033,2.06,1,2.06,2019-08-30,2019-08-30,2.3,2019-02-28,2,-0.24776663459662057,82,82,-0.290461114903153,325,325,-0.2910372053443603,862,862,-0.0162528484038633,325,36,True
PO018043NUP001,2022,518426.612333,5011543.40033,2.1,1,2.1,2022-08-30,2022-08-30,2.3,2022-02-28,2,0.3735301643567609,82,82,0.3410851676800284,325,325,0.28718264692908,862,862,0.4582674555970307,325,14,True
PO018043NUP001,2023,518426.612333,5011543.40033,2.1,1,2.1,2023-08-29,2023-08-29,2.3,2023-02-28,1,0.10848754724309265,82,82,0.1408115899245257,325,325,0.09793479314243544,862,862,0.2566899402152126,325,14,True
PO018043NUP001,2024,518426.612333,5011543.40033,1.55,1,1.55,2024-08-20,2024-08-20,1.65,2024-02-26,2,-0.3619679022144676,82,82,-0.4345728665374294,325,325,-0.4059766377899541,862,862,-0.11118287106894675,325,16,True
PO018043NUP001,2025,518426.612333,5011543.40033,1.75,1,1.75,2025-08-26,2025-08-26,1.85,2025-01-22,1,0.15509125493519785,82,82,0.054428261269336,325,325,0.026178797788229048,862,862,-0.10542723637682565,325,16,True
PO0180470U0001,2016,501288.0,4989873.0,8.2,1,8.2,2016-08-10,2016-08-10,7.9,2016-02-17,1,0.4053239182733993,12,12,0.3202155694181363,109,109,0.13868872262646903,464,464,0.3202155694181363,109,109,True
PO0180470U0001,2017,501288.0,4989873.0,8.61,1,8.61,2017-08-17,2017-08-17,8.26,2017-02-23,2,0.5101814935205103,12,12,0.3782026201017577,109,109,0.3317944603855293,464,464,0.3782026201017577,109,109,True
PO0180470U0001,2018,501288.0,4989873.0,8.68,1,8.68,2018-08-23,2018-08-23,8.85,2018-02-20,2,-0.048747922708439,12,12,-0.001876722896514,109,109,-0.1040405130039979,464,464,-0.001876722896514,109,109,True
PO0180470U0001,2019,501288.0,4989873.0,8.95,1,8.95,2019-08-28,2019-08-28,8.62,2019-02-19,2,-0.0196386805615403,12,12,-0.0560580520348983,109,109,-0.1318563412891474,464,464,-0.0560580520348983,109,109,True
PO0180470U0001,2020,501288.0,4989873.0,8.12,1,8.12,2020-08-25,2020-08-25,7.56,2020-01-29,1,0.28764412156858354,12,12,0.1560551729782669,109,109,0.0523703236684004,464,464,0.1560551729782669,109,109,True
PO0180470U0001,2021,501288.0,4989873.0,8.23,1,8.23,2021-08-26,2021-08-26,7.23,2021-02-23,2,0.39668256567823207,12,12,0.4442578380295533,109,109,0.39922167925724406,464,464,0.4442578380295533,109,109,True
PO018047NR0001,2016,499957.0,4986727.0,5.24,1,5.24,2016-08-02,2016-08-02,4.5,2016-02-08,1,0.2842602541422367,1,1,0.3269486631265979,56,56,0.1887714003171287,411,411,0.3269486631265979,56,56,True
PO018047NR0001,2017,499957.0,4986727.0,6.58,1,6.58,2017-08-01,2017-08-01,5.8,2017-02-28,3,0.513202535324566,1,1,0.33055161301895986,56,56,0.3738562927109319,411,411,0.33055161301895986,56,56,True
PO018047NR0001,2019,499957.0,4986727.0,7.04,1,7.04,2019-08-22,2019-08-22,6.79,2019-01-29,2,0.330558154871759,1,1,-0.11165409650773064,56,56,-0.0967549240661073,411,411,-0.11165409650773064,56,56,True
PO018047NR0001,2020,499957.0,4986727.0,5.28,1,5.28,2020-08-04,2020-08-04,5.41,2020-01-08,1,0.3793213712959233,1,1,0.15629611850487823,56,56,0.0801465911055093,411,411,0.15629611850487823,56,56,True
PO018047NR0001,2021,499957.0,4986727.0,5.1,1,5.1,2021-08-04,2021-08-04,4.14,2021-02-03,2,0.3430895973893066,1,1,0.26985277399083896,56,56,0.4240905630289967,411,411,0.26985277399083896,56,56,True
PO018047NR0001,2022,499957.0,4986727.0,7.1,1,7.1,2022-08-03,2022-08-03,5.95,2022-02-01,2,3.196204358433251,1,1,0.336144270540208,56,56,0.4651694490539038,411,411,0.336144270540208,56,56,True
PO018047NR0001,2023,499957.0,4986727.0,7.68,1,7.68,2023-08-31,2023-08-31,7.4,2023-02-06,1,1.029434685784446,1,1,0.23409377660125308,56,56,0.376800683838038,411,411,0.23409377660125308,56,56,True
PO018047NR0001,2024,499957.0,4986727.0,5.78,1,5.78,2024-08-28,2024-08-28,7.37,2024-02-28,2,0.5279386738693097,1,1,-0.30367787734455864,56,56,-0.1047613839696814,411,411,-0.30367787734455864,56,56,True
PO018047NR0001,2025,499957.0,4986727.0,5.4,1,5.4,2025-08-28,2025-08-28,4.87,2025-02-26,2,-0.4786258983418768,1,1,0.2363028545311919,56,56,0.3133576817990249,411,411,0.2363028545311919,56,56,True
PO0180480U0004,2017,539643.0,5000554.0,5.44,1,5.44,2017-08-30,2017-08-30,5.05,2017-02-28,2,-0.1607701654997458,35,35,0.0106194242650147,102,102,0.0814808117659773,288,288,,102,0,True
PO0180480U0004,2018,539643.0,5000554.0,5.0,1,5.0,2018-08-21,2018-08-21,5.0,2018-02-28,2,-0.7404919689628783,35,35,-0.5670249413482709,102,102,-0.4226824382574883,288,288,,102,0,True
PO0180480U0004,2021,539643.0,5000554.0,5.1,1,5.1,2021-08-25,2021-08-25,4.75,2021-02-26,2,-0.2756270498274143,35,35,-0.1035677623429251,102,102,0.11523077671129009,288,288,,102,0,True
PO0180480U0004,2022,539643.0,5000554.0,5.7,1,5.7,2022-08-10,2022-08-10,5.0,2022-02-14,2,0.0122513158600583,35,35,0.0159187781274767,102,102,0.09993570057592135,288,288,,102,0,True
PO0180480U0004,2023,539643.0,5000554.0,5.0,1,5.0,2023-08-07,2023-08-07,4.7,2023-02-03,2,-0.0182881594703448,35,35,0.048257250777091,102,102,0.10955077422495675,288,288,,102,0,True
PO0180480U0004,2024,539643.0,5000554.0,4.55,1,4.55,2024-08-16,2024-08-16,5.1,2024-02-08,2,-0.6951201465151072,35,35,-0.6574027602607668,102,102,-0.5395920362139792,288,288,,102,0,True
PO0180480U0004,2025,539643.0,5000554.0,4.65,1,4.65,2025-08-22,2025-08-22,4.4,2025-02-07,2,-0.2133332894702113,35,35,-0.17951244352579826,102,102,-0.13216288281933136,288,288,,102,0,True
PO018048NRP001,2018,522279.911,5003718.75567,2.95,1,2.95,2018-08-21,2018-08-21,3.48,2018-01-30,1,-0.309087200344995,85,85,-0.3583734176784524,255,255,-0.3156300948903747,711,711,-0.3232692244797192,255,1,True
PO018048NRP001,2021,522279.911,5003718.75567,3.15,1,3.15,2021-08-25,2021-08-25,2.76,2021-02-26,2,0.2398626666580598,85,85,0.1777976160716123,255,255,0.1845685852306982,711,711,,255,0,True
PO018048NRP001,2022,522279.911,5003718.75567,3.6,1,3.6,2022-08-10,2022-08-10,2.96,2022-02-14,2,0.3849334357639998,85,85,0.3126624742202154,255,255,0.2552844369244229,711,711,,255,0,True
PO018048NRP001,2023,522279.911,5003718.75567,3.38,1,3.38,2023-08-07,2023-08-07,2.8,2023-02-03,2,0.2089537942108724,85,85,0.1078240690878955,255,255,0.1220603632879266,711,711,,255,0,True
PO018048NRP001,2024,522279.911,5003718.75567,2.82,1,2.82,2024-08-16,2024-08-16,3.5,2024-02-08,2,-0.5361858372060774,85,85,-0.4398393238946951,255,255,-0.415774256485505,711,711,,255,0,True
PO018048NRP001,2025,522279.911,5003718.75567,3.0,1,3.0,2025-08-22,2025-08-22,2.8,2025-02-07,2,-0.1418863255700987,85,85,0.0230956920771458,255,255,0.0230956920771458,711,711,,255,0,True
PO0180490U0003,2015,520341.0,4986376.0,4.64,1,4.64,2015-08-20,2015-08-20,2.29,2015-02-12,2,,0,0,0.0900240573913751,1,1,-0.7558853827466921,233,233,,1,0,True
PO0180490U0003,2016,520341.0,4986376.0,5.73,1,5.73,2016-08-24,2016-08-24,2.77,2016-02-24,2,,0,0,-0.4908137737977008,1,1,-0.0461772822869065,233,233,,1,0,True
PO0180490U0003,2017,520341.0,4986376.0,5.91,1,5.91,2017-08-28,2017-08-28,3.12,2017-02-21,2,,0,0,0.5314095308012562,1,1,0.1143237042168971,233,233,,1,0,True
PO0180490U0003,2018,520341.0,4986376.0,5.71,1,5.71,2018-08-27,2018-08-27,2.6,2018-02-26,2,,0,0,-0.9079423212906392,1,1,-0.3680057820044824,233,233,,1,0,True
PO0180500U0002,2015,480174.0,5017487.0,3.8,1,3.8,2015-08-22,2015-08-22,3.92,2015-02-18,2,-0.7229672393044659,81,81,-0.3935443004687656,323,323,-0.48899425189469337,1130,1130,-0.3492928052625985,323,287,True
PO0180500U0002,2016,480174.0,5017487.0,3.9,1,3.9,2016-08-25,2016-08-25,4.4,2016-02-24,2,-0.0112357132596218,81,81,0.3560411072624803,323,323,0.17127149938714675,1130,1130,0.3420122562916866,323,257,True
PO0180500U0002,2017,480174.0,5017487.0,3.6,1,3.6,2017-08-16,2017-08-16,4.2,2017-01-18,1,0.241551341272183,81,81,0.4526222129291067,323,323,0.3383062974584691,1130,1130,0.4726373221377474,323,257,True
PO0180500U0002,2018,480174.0,5017487.0,4.01,1,4.01,2018-08-30,2018-08-30,3.81,2018-01-30,1,-0.044736600299579,81,81,0.1313280560790283,323,323,0.0171602897931402,1130,1130,0.07722017964025754,323,252,True
PO018062NRD002,2016,489193.0,4993809.0,6.66,1,6.66,2016-08-11,2016-08-11,7.18,2016-02-09,2,0.1416639821595371,83,83,0.220642415394981,265,265,0.16871667086266928,814,814,0.220642415394981,265,265,True
PO018062NRD002,2017,489193.0,4993809.0,5.86,1,5.86,2017-08-08,2017-08-08,7.9,2017-02-13,2,0.3951075178131774,83,83,0.3951075178131774,265,265,0.3723236797174322,814,814,0.3951075178131774,265,265,True
PO018062NRD002,2018,489193.0,4993809.0,5.75,1,5.75,2018-08-13,2018-08-13,7.9,2018-02-15,2,0.0032573215784736,83,83,-0.0040690958211354,265,265,-0.07120966123957775,814,814,-0.0040690958211354,265,265,True
PO018062NRD002,2019,489193.0,4993809.0,7.28,1,7.28,2019-08-14,2019-08-14,7.88,2019-02-15,2,-0.0393929920270856,83,83,-0.0068691219677984,265,265,-0.09969189578845045,814,814,-0.0068691219677984,265,265,True
PO018062NRD002,2020,489193.0,4993809.0,6.28,1,6.28,2020-08-31,2020-08-31,7.47,2020-02-17,2,0.0939006366793887,83,83,0.1599178023947846,265,265,0.10743595219699764,814,814,0.1599178023947846,265,265,True
PO018062NRD002,2024,489193.0,4993809.0,6.22,1,6.22,2024-08-18,2024-08-18,7.12,2024-02-15,2,-0.1000673425851944,83,83,-0.0414511076219185,265,265,-0.1092318284615583,814,814,-0.0414511076219185,265,265,True
PO018062NRD002,2025,489193.0,4993809.0,6.89,1,6.89,2025-08-04,2025-08-04,7.86,2025-02-14,2,0.245485816358915,83,83,0.3654951106795812,265,265,0.30691072615118786,814,814,0.3654951106795812,265,265,True
PO018065NRG001,2016,476409.0,4987902.0,1.92,1,1.92,2016-08-11,2016-08-11,4.19,2016-02-18,1,0.2407601974889058,58,58,0.225238156314907,173,173,0.1018679026489894,628,628,0.2304519581214968,173,161,True
PO018065NRG001,2017,476409.0,4987902.0,2.26,1,2.26,2017-08-16,2017-08-16,3.87,2017-02-21,1,0.24485027413799937,58,58,0.3469583390996653,173,173,0.32306780228514875,628,628,0.3376492608206842,173,160,True
PO018065NRG001,2019,476409.0,4987902.0,1.77,1,1.77,2019-08-27,2019-08-27,4.0,2019-02-19,1,-0.2530682159630897,58,58,-0.1473674963598245,173,173,-0.12444262741410836,628,628,-0.1244347673394745,173,160,True
PO018065NRG001,2022,476409.0,4987902.0,1.8,1,1.8,2022-08-31,2022-08-31,4.24,2022-02-28,1,0.31521357640876546,58,58,0.3504619648268068,173,173,0.43385554350490624,628,628,0.39528799084376287,173,160,True
PO018065NRG001,2025,476409.0,4987902.0,1.8,1,1.8,2025-08-28,2025-08-28,3.6,2025-02-19,1,0.0109769324556208,58,58,0.1445241167653685,173,173,0.16094308797005413,628,628,0.1902039883826204,173,161,True
PO018068NRP001,2016,492857.0,5011583.0,18.9,1,18.9,2016-08-22,2016-08-22,20.7,2016-02-23,1,-0.0128324145642437,61,61,-0.0251491801069596,241,241,0.09140524939890846,1156,1156,-0.0251491801069596,241,241,True
PO018068NRP001,2017,492857.0,5011583.0,19.9,1,19.9,2017-08-22,2017-08-22,20.9,2017-02-21,2,0.2320942235024832,61,61,0.2239004796621296,241,241,0.3080625512904881,1156,1156,0.2239004796621296,241,241,True
PO018068NRP001,2018,492857.0,5011583.0,19.6,1,19.6,2018-08-22,2018-08-22,21.2,2018-02-21,2,-0.06506574471086,61,61,-0.1706947012995226,241,241,-0.07120966123957775,1156,1156,-0.1706947012995226,241,241,True
PO0180690U0002,2015,494013.0,5004960.0,4.59,1,4.59,2015-08-21,2015-08-21,5.12,2015-02-18,2,-0.6167892464063893,76,76,-0.6509309987904193,290,290,-0.6116489121770698,1046,1046,-0.6509309987904193,290,290,True
PO0180690U0002,2016,494013.0,5004960.0,6.2,1,6.2,2016-08-16,2016-08-16,5.8,2016-02-15,2,0.15659234952410533,76,76,0.12257635413372589,290,290,0.06898797561926825,1046,1046,0.12257635413372589,290,290,True
PO0180690U0002,2018,494013.0,5004960.0,5.5,1,5.5,2018-08-22,2018-08-22,5.7,2018-02-16,1,-0.0943631233738518,76,76,-0.07522391261065944,290,290,-0.11655287854540185,1046,1046,-0.07522391261065944,290,290,True
PO0180690U0002,2019,494013.0,5004960.0,5.2,1,5.2,2019-08-23,2019-08-23,6.06,2019-02-28,2,-0.15127684617519016,76,76,-0.1291101737901679,290,290,-0.1169202726264029,1046,1046,-0.1291101737901679,290,290,True
PO018072NUP001,2017,512563.9021,5011157.222,3.7,1,3.7,2017-08-22,2017-08-22,4.2,2017-01-31,1,0.294268705815196,81,81,0.2041935125639632,287,287,0.16914330238541503,988,988,0.2212598923580793,287,122,True
PO018072NUP001,2018,512563.9021,5011157.222,3.05,1,3.05,2018-08-30,2018-08-30,4.2,2018-02-26,2,-0.2234790512259804,81,81,-0.2416686546478031,287,287,-0.26612580437054134,988,988,-0.1855819538519887,287,119,True
PO018072NUP001,2019,512563.9021,5011157.222,3.15,1,3.15,2019-08-30,2019-08-30,4.3,2019-02-28,2,-0.2053457451820837,81,81,-0.211227502701776,287,287,-0.2714001216467173,988,988,-0.15236790192686966,287,118,True
PO018072NUP001,2021,512563.9021,5011157.222,3.35,1,3.35,2021-08-30,2021-08-30,3.5,2021-02-26,2,0.2957460852682587,81,81,0.2646623850100423,287,287,0.20521572432983584,988,988,0.2788129912592052,287,88,True
PO018072NUP001,2022,512563.9021,5011157.222,3.15,1,3.15,2022-08-30,2022-08-30,3.9,2022-02-28,2,0.4420147507842182,81,81,0.3965229810679609,287,287,0.322160216684532,988,988,0.3402151096214435,287,89,True
PO018072NUP001,2023,512563.9021,5011157.222,3.7,1,3.7,2023-08-30,2023-08-30,4.6,2023-02-28,2,0.098804172536357,81,81,0.1107520652270172,287,287,0.1265917980473798,988,988,0.1322356680402845,287,88,True
PO018072NUP001,2024,512563.9021,5011157.222,2.55,1,2.55,2024-08-20,2024-08-20,3.95,2024-02-26,2,-0.282619164950879,81,81,-0.3660017454108574,287,287,-0.3303826282938793,988,988,-0.305977522660864,287,92,True
PO018072NUP001,2025,512563.9021,5011157.222,3.0,1,3.0,2025-08-26,2025-08-26,3.6,2025-01-22,1,0.1438834916474501,81,81,0.0737260011198009,287,287,0.06836714967113815,988,988,-0.0036865117978165003,287,92,True
PO0180810U0111,2016,521130.0,5000547.0,1.3,1,1.3,2016-08-26,2016-08-26,5.25,2016-01-28,1,-0.0535961783839449,52,52,0.0144758127999355,191,191,-0.0521983170772635,679,679,0.0040085524486557,191,7,True
PO0180810U0111,2017,521130.0,5000547.0,2.0,1,2.0,2017-08-22,2017-08-22,2.8,2017-02-28,1,0.2917270815745988,52,52,0.1459649752037008,191,191,0.1952088562984227,679,679,0.1001610349556802,191,7,True
PO0180810U0111,2018,521130.0,5000547.0,4.0,1,4.0,2018-08-30,2018-08-30,4.1,2018-02-26,1,-0.34493455987879523,52,52,-0.4056870994571266,191,191,-0.3144808154465911,679,679,-0.489482074283895,191,7,True
PO0180810U0111,2019,521130.0,5000547.0,5.72,1,5.72,2019-08-30,2019-08-30,4.0,2019-02-28,1,-0.48294484135843957,52,52,-0.281722641316938,191,191,-0.3112576307405099,679,679,-0.2143974079702931,191,7,True
PO0180810U0111,2021,521130.0,5000547.0,3.1,1,3.1,2021-08-30,2021-08-30,2.3,2021-02-26,1,0.17703093673624304,52,52,0.1845685852306982,191,191,0.1865358626463344,679,679,0.3594695808074298,191,2,True
PO0180810U0111,2022,521130.0,5000547.0,2.5,1,2.5,2022-08-30,2022-08-30,2.8,2022-02-28,1,0.4471245940178288,52,52,0.1944103845612367,191,191,0.266602462772873,679,679,0.17020308011956375,191,2,True
PO0180810U0111,2023,521130.0,5000547.0,2.85,1,2.85,2023-08-30,2023-08-30,3.7,2023-02-28,1,0.0860985485566334,52,52,0.0970654137485139,191,191,0.1408115899245257,679,679,0.5610067464588078,191,2,True
PO0180810U0111,2024,521130.0,5000547.0,1.55,1,1.55,2024-08-20,2024-08-20,3.0,2024-02-26,2,-0.44767883361680444,52,52,-0.5500155184267274,191,191,-0.3734150324698126,679,679,0.2395761190819036,191,3,True
PO0180810U0111,2025,521130.0,5000547.0,1.5,1,1.5,2025-08-26,2025-08-26,2.8,2025-01-22,1,-0.1570353271897108,52,52,0.0128073789087367,191,191,0.0329567738979772,679,679,0.3359957207740918,191,3,True
PO0180880U0001,2015,479549.0,4993807.0,1.86,1,1.86,2015-08-14,2015-08-14,4.51,2015-02-24,2,-0.6395725526196816,88,88,-0.5145158969778885,308,308,-0.5339445269724591,879,879,-0.5145158969778885,308,308,True
PO0180880U0001,2016,479549.0,4993807.0,1.72,1,1.72,2016-08-11,2016-08-11,5.08,2016-02-18,2,0.0988946452394579,88,88,0.17812136500683068,308,308,0.163577548712329,879,879,0.1781890927497572,308,303,True
PO0180880U0001,2017,479549.0,4993807.0,1.99,1,1.99,2017-08-16,2017-08-16,4.96,2017-02-21,2,0.45176223680232525,88,88,0.3485678474997826,308,308,0.3505700132777612,879,879,0.3588045780651867,308,303,True
PO0180880U0001,2018,479549.0,4993807.0,1.82,1,1.82,2018-08-22,2018-08-22,5.03,2018-02-21,2,-0.13337970372161057,88,88,-0.0280166244905746,308,308,-0.0872879121968524,879,879,-0.0283945190848868,308,303,True
PO0180880U0001,2019,479549.0,4993807.0,1.83,1,1.83,2019-08-27,2019-08-27,4.8,2019-02-19,2,-0.07472750588752711,88,88,-0.10862886402743416,308,308,-0.0992500669040663,879,879,-0.1030955080984125,308,303,True
PO0180880U0001,2020,479549.0,4993807.0,1.71,1,1.71,2020-08-26,2020-08-26,4.27,2020-01-28,1,0.15503330964213113,88,88,0.09316062370727946,308,308,0.06380505837083,879,879,0.0949043625329479,308,303,True
